Price,Adj Close,Close,High,Low,Open,Volume
Ticker,JNJ,JNJ,JNJ,JNJ,JNJ,JNJ
Date,,,,,,
2020-01-02,122.63822937011719,145.97000122070312,146.02000427246094,145.0800018310547,145.8699951171875,5777000
2020-01-03,121.21834564208984,144.27999877929688,145.3699951171875,143.0,143.5,5752400
2020-01-06,121.067138671875,144.10000610351562,144.1999969482422,142.85000610351562,144.0,7731300
2020-01-07,121.80644989013672,144.97999572753906,145.4499969482422,141.3800048828125,144.00999450683594,7382900
2020-01-08,121.78968048095703,144.9600067138672,145.97999572753906,143.6999969482422,144.8699951171875,6605800
2020-01-09,122.15093231201172,145.38999938964844,146.02999877929688,144.99000549316406,145.75999450683594,6112700
2020-01-10,121.8736572265625,145.05999755859375,146.17999267578125,144.89999389648438,145.75,5042600
2020-01-13,122.41138458251953,145.6999969482422,145.7899932861328,144.72000122070312,145.47999572753906,4593200
2020-01-14,123.10028839111328,146.52000427246094,146.61000061035156,144.72999572753906,145.0500030517578,7037500
2020-01-15,123.51201629638672,147.00999450683594,147.39999389648438,146.24000549316406,146.39999389648438,4960300
2020-01-16,124.51177215576172,148.1999969482422,148.83999633789062,146.1999969482422,147.4199981689453,6476000
2020-01-17,125.32672119140625,149.1699981689453,149.41000366210938,147.92999267578125,148.41000366210938,9083600
2020-01-21,125.41075134277344,149.27000427246094,150.1699981689453,148.5,148.5800018310547,9543900
2020-01-22,124.5538330078125,148.25,149.17999267578125,146.0,146.6999969482422,10305300
2020-01-23,124.78904724121094,148.52999877929688,148.77000427246094,146.75999450683594,148.0399932861328,8671900
2020-01-24,124.61264038085938,148.32000732421875,148.9499969482422,147.92999267578125,148.5800018310547,9051900
2020-01-27,124.97390747070312,148.75,149.4600067138672,147.0,147.52000427246094,7587100
2020-01-28,125.60401916503906,149.5,150.57000732421875,148.14999389648438,148.4600067138672,7336600
2020-01-29,126.47777557373047,150.5399932861328,151.19000244140625,149.1300048828125,149.4499969482422,6288600
2020-01-30,126.32653045654297,150.36000061035156,150.50999450683594,149.0500030517578,150.02999877929688,6470600
2020-01-31,125.07466888427734,148.8699951171875,150.0,148.63999938964844,149.75,8651700
2020-02-03,126.16690826416016,150.1699981689453,150.49000549316406,149.24000549316406,149.4199981689453,5765200
2020-02-04,127.36834716796875,151.60000610351562,152.75,151.1999969482422,151.49000549316406,6541400
2020-02-05,129.37632751464844,153.99000549316406,154.02000427246094,151.30999755859375,151.72000122070312,5979900
2020-02-06,128.9898223876953,153.52999877929688,154.5,152.74000549316406,154.25,6201200
2020-02-07,127.61199188232422,151.88999938964844,153.4600067138672,151.5500030517578,153.33999633789062,5700300
2020-02-10,127.58679962158203,151.86000061035156,151.91000366210938,150.88999938964844,151.67999267578125,4835600
2020-02-11,127.69599914550781,151.99000549316406,152.3800048828125,151.5399932861328,152.2899932861328,3715300
2020-02-12,126.93985748291016,151.08999633789062,152.14999389648438,150.9199981689453,151.8699951171875,5166800
2020-02-13,126.09967803955078,150.08999633789062,151.0399932861328,149.8800048828125,150.16000366210938,5480200
2020-02-14,126.13329315185547,150.1300048828125,150.63999938964844,149.14999389648438,150.55999755859375,5716300
2020-02-18,125.30152893066406,149.13999938964844,150.74000549316406,149.05999755859375,150.47000122070312,7230700
2020-02-19,125.13350677490234,148.94000244140625,149.75999450683594,148.5800018310547,149.2100067138672,6115200
2020-02-20,124.65459442138672,148.3699951171875,149.3800048828125,147.39999389648438,148.61000061035156,7464700
2020-02-21,125.96527862548828,149.92999267578125,150.24000549316406,147.5399932861328,148.08999633789062,7776800
2020-02-24,123.3694839477539,145.91000366210938,149.0,145.25,146.5,10588900
2020-02-25,122.30415344238281,144.64999389648438,146.75,143.8300018310547,145.99000549316406,10529000
2020-02-26,121.48401641845703,143.67999267578125,146.22000122070312,143.58999633789062,145.35000610351562,10093800
2020-02-27,117.62846374511719,139.1199951171875,144.77000427246094,138.9499969482422,142.55999755859375,12566700
