Date,Portfolio_Value
2020-01-03,10025.792022139472
2020-01-06,10045.798780037616
2020-01-07,10034.706002955352
2020-01-08,10065.480868241582
2020-01-09,10174.97985117627
2020-01-10,10164.370969601892
2020-01-13,10296.090874301093
2020-01-14,10281.794749405492
2020-01-15,10345.902808904328
2020-01-16,10423.40194825582
2020-01-17,10485.04701841568
2020-01-21,10436.21253072235
2020-01-22,10435.176786935872
2020-01-23,10442.398633376764
2020-01-24,10456.330350492091
2020-01-27,10366.475354204598
2020-01-28,10457.166226414258
2020-01-29,10516.339888343076
2020-01-30,10534.99584750367
2020-01-31,10329.98404406553
2020-02-03,10320.565420921532
2020-02-04,10496.150223576744
2020-02-05,10600.36209058867
2020-02-06,10663.125191408732
2020-02-07,10579.219271398222
2020-02-10,10621.892219667694
2020-02-11,10610.07694356129
2020-02-12,10671.501777846572
2020-02-13,10645.700691771995
2020-02-14,10654.59045580479
2020-02-18,10583.19659011538
2020-02-19,10597.30272518832
2020-02-20,10506.485095031829
2020-02-21,10471.153218234937
2020-02-24,10143.748140136502
2020-02-25,9899.133932486482
2020-02-26,9937.437769105958
2020-02-27,9497.148633113682
2020-02-28,9429.13899272956
2020-03-02,9916.521978629371
2020-03-03,9697.77637355882
2020-03-04,10242.711430800251
2020-03-05,9925.15243755507
2020-03-06,9820.952047314373
2020-03-09,9210.907670689825
2020-03-10,9530.790639223604
2020-03-11,9051.117167486496
2020-03-12,8142.351877443739
2020-03-13,8806.315226725083
2020-03-16,7884.323956669295
2020-03-17,8516.405646340418
2020-03-18,8287.151301819606
2020-03-19,8053.42950412885
2020-03-20,7641.255364223
2020-03-23,7421.4296971763215
2020-03-24,8087.080656198923
2020-03-25,8440.708320145051
2020-03-26,8971.246910080245
2020-03-27,8710.403061998422
2020-03-30,9078.519090188456
2020-03-31,8885.448164459594
2020-04-01,8501.894365812343
2020-04-02,8738.31303561338
2020-04-03,8643.817203713967
2020-04-06,9163.293332518448
2020-04-07,9008.927948493028
2020-04-08,9208.640066601134
2020-04-09,9382.89238074665
2020-04-13,9306.24104908887
2020-04-14,9624.180340904184
2020-04-15,9475.882715386857
2020-04-16,9549.295173416203
2020-04-17,9866.60367929674
2020-04-20,9627.16479799394
2020-04-21,9448.095635220203
2020-04-22,9698.192770919162
2020-04-23,9594.639716311123
2020-04-24,9669.10023951654
2020-04-27,9707.974199237176
2020-04-28,9661.53489796485
2020-04-29,9726.434609293825
2020-04-30,9699.808176136346
2020-05-01,9555.940094131734
2020-05-04,9555.540727359694
2020-05-05,9622.12331093669
2020-05-06,9492.66074352915
2020-05-07,9569.660176955365
2020-05-08,9734.01659656338
